dish_id;ingredient_id
90;9041
90;14185
90;4143
90;10377
90;1931
91;4143
91;8748
91;11578
91;2071
91;109
92;5197
92;3725
92;11578
92;14352
92;9307
92;11578
92;14352
92;9056
92;11058
92;4578
92;11740
92;9315
93;13628
93;9307
93;725
93;7027
93;192
93;5727
93;4264
93;7866
93;7621
93;10377
93;3879
93;209
93;7366
93;4982
93;2838
93;9682
93;1732
93;2468
93;754
94;4143
94;4143
94;1959
94;4112
94;9615
94;4719
95;7387
95;4143
95;5285
95;11864
95;4719
95;5624
96;4264
96;9276
96;1803
96;4850
96;12678
96;3023
96;12409
96;4264
97;9041
97;9307
97;11578
97;5828
97;9307
97;11578
97;11058
97;19
97;10933
97;1182
97;6074
97;5828
97;12083
97;11578
97;12520
97;7440
98;3086
98;11028
98;13868
99;11021
99;1070
99;4143
99;12121
99;12678
99;968
99;9307
99;14108
100;2034
100;3578
100;10989
100;9387
100;762
100;13290
100;5919
101;7180
101;4143
101;9970
101;11578
101;8748
101;10085
101;3918
101;1754
101;8168
101;7041
101;12512
101;13213
101;1021
102;6136
102;6615
102;1754
102;8168
102;8748
102;1769
102;9970
102;9735
102;8748
103;6653
103;3616
103;10760
103;1671
103;2761
103;9028
103;6913
103;10633
104;14445
104;7757
104;9276
104;19
105;2987
105;1959
105;7189
105;6074
106;12151
106;1084
106;8081
106;1959
107;11628
107;12726
107;1959
107;1959
107;4740
107;1803
107;6286
107;1338
107;14441
107;9479
108;295
108;11615
108;1732
109;7027
109;4264
109;10377
109;3879
109;3285
109;3879
109;10117
109;1924
109;7366
109;4982
109;3068
109;12367
109;12512
110;712
110;14352
110;11578
110;7027
110;12231
110;1803
110;12939
110;8748
110;5616
110;3879
110;4264
111;1959
111;9615
111;3692
111;7366
112;7441
112;11578
112;14445
112;3879
112;6033
112;11768
112;11578
112;9276
112;19
112;9307
112;5828
112;11737
112;7440
113;8045
113;3692
113;7027
113;11578
113;13673
113;3879
113;10377
113;4264
113;3879
113;4264
114;10880
114;5727
114;11430
114;8333
114;9041
114;11578
114;13461
115;13953
115;11578
115;12186
115;2221
115;11058
116;13477
116;12186
116;1446
117;9307
117;4775
117;12938
117;12186
117;9307
117;12186
118;3855
118;1959
118;5828
118;4663
118;4206
118;11058
119;5828
119;11578
119;4346
119;8748
119;11615
119;8768
119;5284
119;13604
119;6035
120;7027
120;10377
120;11596
120;1182
120;3879
121;4872
121;8817
121;10598
121;3692
121;14130
121;8245
122;1875
122;6086
122;9522
122;910
122;6086
123;7868
124;2325
124;11864
124;9615
124;8748
124;4941
124;6895
125;11326
125;11180
125;2593
125;13204
125;8991
125;5575
125;11416
126;4105
126;8991
126;11416
126;8748
126;12770
126;8138
126;7
127;11326
127;11180
127;2593
127;13204
127;8991
128;11698
128;10853
128;12186
128;4264
128;11058
128;12202
129;9274
129;12726
129;9276
129;7823
129;10141
129;7823
129;742
129;9893
129;8219
130;13089
130;14352
130;9041
130;1803
130;7027
130;8748
131;14352
131;9491
132;14352
132;6056
132;5236
132;1148
132;8991
132;13461
133;14322
133;9615
133;11833
133;11578
133;8748
133;7055
133;14322
133;13461
134;13456
134;13673
134;1959
134;11864
134;8748
135;8717
135;4740
135;8572
135;4998
135;12939
135;621
135;1803
135;8748
135;10540
135;7621
135;10267
135;1959
135;8333
135;1119
135;3490
136;3068
136;3541
136;3541
136;7085
136;8333
136;11171
136;12655
137;8397
137;14482
137;9541
137;10135
137;1875
137;9116
137;1875
137;11864
137;8748
137;13673
137;11578
137;8748
137;7621
137;13485
137;8748
138;4264
138;11428
138;4982
138;11578
138;1754
138;14352
138;8748
138;1182
138;8748
138;13089
138;13785
138;14352
138;7621
138;8748
139;13505
139;4482
139;4527
139;4655
139;12660
139;297
139;8748
140;7027
140;9695
140;10760
140;4143
140;8291
140;8907
140;9695
140;13907
140;3906
141;10215
141;5593
142;13674
142;4626
142;7189
142;13673
142;3484
142;1959
142;1959
143;4841
143;8081
143;4817
143;4264
143;2732
144;5911
144;4264
144;1182
144;2737
144;2264
145;8413
145;7536
145;4264
145;7366
145;6074
145;5112
145;5112
146;9615
146;10255
146;7792
147;2697
147;3692
147;13674
147;3360
147;4286
147;4264
147;3360
148;8964
148;4626
148;13672
148;8725
148;10811
148;2732
149;4264
149;6581
149;10577
149;11503
149;8258
150;8672
150;13007
150;1917
150;3683
150;4264
151;11009
151;293
151;13267
151;8309
151;7189
151;7331
152;11768
152;11768
152;9496
152;6381
152;9307
152;504
153;9256
153;9276
153;1959
153;8748
153;1765
154;2240
154;11864
154;8748
154;8748
154;2427
154;3502
154;12913
155;11578
155;10744
155;1875
155;8748
155;10790
155;949
155;8333
155;11864
155;10377
155;12293
155;10744
155;8748
156;9522
156;4264
156;13940
156;9143
156;4710
156;5644
156;4003
156;11578
156;3924
156;1231
156;11805
156;8748
156;12120
157;7455
157;14191
157;9522
157;3080
157;6074
157;11058
157;4264
157;4264
157;1815
157;8748
158;13862
158;11578
158;4663
158;11058
158;11058
158;5828
158;14108
158;8748
158;1875
158;13673
158;3150
158;1028
158;13324
